Title,Price,Address,Beds
"The Aberdeen West Loop, Chicago, IL","$1,565","4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed
"1313 Randolph Street Lofts, Chicago, IL","$1,721","1313 W Randolph St, Chicago, IL 60607",Studio - 2 Bed
"The Lofts at Gin Alley, Chicago, IL","$2,099","120 N Green St, Chicago, IL 60607",Studio - 3 Bed
"Westhaven Park, Chicago, IL",$770,"1949 W Lake St, Chicago, IL 60612",1-3 Bed
"TRIO Apartments, Chicago, IL","$2,060","670 W Wayman St, Chicago, IL 60661",1-3 Bed
"Reside on Green Street, Chicago, IL","$1,678","504 N Green St, Chicago, IL 60642",Studio - 3 Bed
"One 333, Chicago, IL","$1,866","1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed
"Hubbard Place, Chicago, IL","$1,736","360 W Hubbard St, Chicago, IL 60654",Studio - 2 Bed
"Luxe on Chicago, Chicago, IL","$1,635","1838 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed
"440 N. Wabash Ave., Chicago, IL","$1,495","440 N Wabash Ave, Chicago, IL 60611",Studio - 2 Bed
"Columbus Plaza, Chicago, IL","$1,568","233 E Wacker Dr, Chicago, IL 60601",Studio - 2 Bed
"10 E. Ontario St., Chicago, IL","$1,975","10 E Ontario St, Chicago, IL 60611",Studio - 2 Bed
"Asbury Plaza, Chicago, IL","$1,622","750 N Dearborn St, Chicago, IL 60654",Studio - 2 Bed
"Chestnut Tower, Chicago, IL","$1,804","121 W Chestnut St, Chicago, IL 60610",Studio - 3 Bed
"Chestnut Row Homes, Chicago, IL","$15,000","111 W Chestnut St, Chicago, IL 60610",4 Bed
"North Harbor Tower, Chicago, IL","$1,515","175 N Harbor Dr, Chicago, IL 60601",Studio - 3 Bed
"State &amp; Chestnut, Chicago, IL","$1,960","845 N State St, Chicago, IL 60610",Studio - 2 Bed
"The Streeter, Chicago, IL","$1,637","345 E Ohio St, Chicago, IL 60611",Studio - 3 Bed
"Sienna, Chicago, IL","$2,200","423 W Ohio St, Chicago, IL 60611",1-2 Bed
"1120 N. LaSalle, Chicago, IL","$1,458","1120 LaSalle Dr, Chicago, IL 60610",Studio - 2 Bed
"ONE Old Town Park, Chicago, IL","$1,690","1140 N Wells St, Chicago, IL 60610",Studio - 3 Bed
"The Oliver on LaSalle, Chicago, IL","$1,100","1140 N Lasalle St, Chicago, IL 60610",Studio - 1 Bed
"Elm Street Plaza, Chicago, IL","$1,545","1130 N Dearborn St, Chicago, IL 60610",Studio - 2 Bed
"The Scott Residences, Chicago, IL","$2,065","211 W Scott St, Chicago, IL 60610",Studio - 3 Bed
"The Clark, Chicago, IL","$1,700","1201 N Clark St, Chicago, IL 60610",Studio - 2 Bed
"1325 N. Wells, Chicago, IL","$2,295","1325 N Wells St, Chicago, IL 60610",1-2 Bed
"Canterbury Court Apartments, Chicago, IL","$1,200","1220 N State Pky, Chicago, IL 60610",Studio - 1 Bed
"1435 North Wells, Chicago, IL","$1,756","1435-1443 N Wells St, Chicago, IL 60610",Studio - 2 Bed
"Astor House, Chicago, IL",Call for Rent,"1340 N Astor St, Chicago, IL 60610",1-2 Bed
"1518 W Chicago Ave Unit 3, Chicago, IL","$2,799","1518 W Chicago Ave Unit 3, Chicago, IL",2 Bed
"1846 Superior W St Unit 2, Chicago, IL","$1,950","1846 Superior W St Unit 2, Chicago, IL",Condo for Rent
"2024 W Huron St Unit 2nd floor, Chicago, IL","$2,300","2024 W Huron St Unit 2nd floor, Chicago, IL",3 Bed
"1375 Milwaukee N Ave Unit 2R, Chicago, IL","$2,700","1375 Milwaukee N Ave Unit 2R, Chicago, IL",Condo for Rent
