Title,Price,Address,Beds,Neighborhood,Latitude,Longitude
"310 S Michigan Ave Unit 1712, Chicago, IL","$1,750","310 S Michigan Ave Unit 1712, Chicago, IL",Condo for Rent,Chicago Loop,41.8778248,-87.6246019
"2345 W Cullerton St Unit 1, Chicago, IL","$1,300","2345 W Cullerton St Unit 1, Chicago, IL",2 Bed,Lower West Side,41.8546191,-87.6850238
"317 W 23rd Pl Unit 2, Chicago, IL","$1,395","317 W 23rd Pl Unit 2, Chicago, IL",3 Bed,Armour Square,41.8498063,-87.63543
"680 N Peoria St, Chicago, IL","$4,300","680 N Peoria St, Chicago, IL",Townhome for Rent,West Town,41.894575,-87.6504951
"410 W Grand Ave Unit 2105, Chicago, IL","$2,772","410 W Grand Ave Unit 2105, Chicago, IL",1 Bed,River North,41.89169990000001,-87.63903499999999
"1729 W Erie St Unit 3F, Chicago, IL","$1,800","1729 W Erie St Unit 3F, Chicago, IL",Condo for Rent,West Town,41.89314840000001,-87.67079679999999
"2337 W Lake St Unit 2W, Chicago, IL","$1,500","2337 W Lake St Unit 2W, Chicago, IL",Condo for Rent,Near West Side,41.8844937,-87.6855308
"739 N Ada St Unit 105, Chicago, IL","$3,600","739 N Ada St Unit 105, Chicago, IL",2 Bed,West Town,41.89539,-87.6611199
"1641 W Huron St Unit 1R, Chicago, IL","$1,950","1641 W Huron St Unit 1R, Chicago, IL",2 Bed,West Town,41.8939294,-87.66888639999999
"925 W Huron St Unit 507, Chicago, IL","$2,500","925 W Huron St Unit 507, Chicago, IL",Condo for Rent,West Town,41.8948876,-87.6510136
"326 W Illinois St Unit 5, Chicago, IL","$2,595","326 W Illinois St Unit 5, Chicago, IL",1 Bed,River North,41.890923,-87.6368103
"509 Orleans N St Unit 609, Chicago, IL","$3,139","509 Orleans N St Unit 609, Chicago, IL",2 Bed,River North,41.891177,-87.63678829999999
"8 E Randolph St Unit 24-04, Chicago, IL","$3,300","8 E Randolph St Unit 24-04, Chicago, IL",Condo for Rent,Chicago Loop,41.884653,-87.62740459999999
"200 N Dearborn St Unit 2402D, Chicago, IL","$2,800","200 N Dearborn St Unit 2402D, Chicago, IL",Condo for Rent,Chicago Loop,41.8860876,-87.6300102
"60 E Monroe St Unit 1704, Chicago, IL","$3,600","60 E Monroe St Unit 1704, Chicago, IL",Condo for Rent,Chicago Loop,41.8813202,-87.6256653
"60 E Monroe St Unit 5205, Chicago, IL","$3,400","60 E Monroe St Unit 5205, Chicago, IL",Condo for Rent,Chicago Loop,41.8813202,-87.6256653
"323 W Illinois St Unit 21-S, Chicago, IL","$1,710","323 W Illinois St Unit 21-S, Chicago, IL",Studio,River North,41.8904825,-87.63641349999999
"323 W Illinois St Unit 2102, Chicago, IL","$2,095","323 W Illinois St Unit 2102, Chicago, IL",1 Bed,River North,41.8904825,-87.63641349999999
"2316 Leavitt S St Unit 2, Chicago, IL","$1,350","2316 Leavitt S St Unit 2, Chicago, IL",3 Bed,Lower West Side,41.849768,-87.681035
"316 N Clark St Unit 1902, Chicago, IL","$2,388","316 N Clark St Unit 1902, Chicago, IL",1 Bed,River North,41.8879014,-87.63131179999999
"2015 W Race Ave Unit 2SE, Chicago, IL","$4,750","2015 W Race Ave Unit 2SE, Chicago, IL",2 Bed,West Town,41.8913631,-87.6777721
"2001 S State St Unit 3B, Chicago, IL","$1,895","2001 S State St Unit 3B, Chicago, IL",Condo for Rent,Near South Side,41.85511899999999,-87.6267314
"2046 W Grand Ave. Unit 2R, Chicago, IL","$1,500","2046 W Grand Ave. Unit 2R, Chicago, IL",Studio,West Town,41.8909846,-87.6787689
"1936 W Ohio St Unit #1, Chicago, IL","$1,700","1936 W Ohio St Unit #1, Chicago, IL",2 Bed,West Town,41.892537,-87.67599700000001
"1936 W Ohio St Unit 2, Chicago, IL","$1,500","1936 W Ohio St Unit 2, Chicago, IL",2 Bed,West Town,41.892537,-87.67599700000001
